Localization,1.0.0,,,,,,,,,,,,
ID,en:English,ja:Japanese,zh:Chinese,zh-CN:ChineseSimplified,zh-TW:ChineseTraditional,fr:French,es:Spanish,ko:Korean,id:Indonesian,th:Thai,ar:Arabic,ru:Russian,de:German
GetByAds,Get by watching video ads,動画広告を見てゲット,通过观看视频广告获取,通过观看视频广告获取,通過觀看視頻廣告獲取,Obtenez en regardant les annonces vidéo,Obtener por ver anuncios de vídeo,동영상 광고를보고갑니다,Dapatkan dengan menonton iklan video,ได้รับจากการดูโฆษณาวิดีโอ,احصل من خلال مشاهدة إعلانات الفيديو,Получить наблюдая видеорекламу,Erhalten Sie durch die Beobachtung von Videoanzeigen
GetByTicket,Get by Ticket,チケットでゲット,凭票获取,凭票获取,憑票獲取,Obtenez par billet,Obtener por entradas,티켓 획득,Dapatkan oleh Tiket,โดยได้รับตั๋ว,الحصول عليها عن طريق التذاكر,Получить по билету,Erhalten von Ticket
Ads,Ads gacha,広告ガチャ,广告嘎查,广告嘎查,廣告嘎查,annonces gacha,anuncios Gacha,광고 가체,iklan gacha,Gacha โฆษณา,إعلانات gacha,Объявления Gacha,Anzeigen gacha
RestrictionLimitedCount,You can not play any more,これ以上プレイできません,你可以不踢了,你可以不踢了,你可以不踢了,Vous ne pouvez plus jouer,No se puede jugar más,더 이상 재생할 수 없습니다,Anda tidak bisa bermain lagi,คุณไม่สามารถเล่นใด ๆ เพิ่มเติม,لا يمكنك لعب أي أكثر,Вы не можете больше играть,Sie können nicht mehr spielen
RestrictionCount,You can play [$Count] more times,あと[$Count]回プレイできます,你可以玩[$Count]多次,你可以玩[$Count]多次,你可以玩[$Count]多次,Vous pouvez jouer [$Count] fois,Puede reproducir [$Count] más veces,그리고 [$Count] 번 플레이 할 수 있습니다,Anda dapat memainkan [$Count] kali,คุณสามารถเล่น [$Count] ครั้งมากขึ้น,يمكن أن تقوم به [$Count] أكثر من مرة,Вы можете играть в [$Count] несколько раз,Sie können [$Count] mehrmals spielen
RestrictionLimitedDay,You can play after [$Days] days,あと[$Days]日後にプレイできます,您可以后[$Days]天玩,您可以后[$Days]天玩,您可以後[$Days]天玩,Vous pouvez jouer après [$Days] jours,Se puede jugar tras [$Days] días,그리고 [$Days] 일 후 플레이 할 수 있습니다,Anda dapat bermain setelah [$Days] hari,คุณสามารถเล่นหลังจาก [$Days] วัน,يمكنك ان تلعب بعد [$Days] أيام,Вы можете играть через [$Days] дней,Sie können nach [$Tage] Tagen spielen
RestrictionDay,Play once a day,１日１回プレイ可,玩一天一次,玩一天一次,玩一天一次,Jouez une fois par jour,Juega una vez al día,1 일 1 회 플레이 가능,Bermain sekali sehari,เล่นวันละครั้ง,لعب مرة واحدة يوميا,Играть один раз в день,Spielen Sie einmal pro Tag
RestrictionWeek,Play once a week,週に１回プレイ可,玩每周一次,玩每周一次,玩每週一次,Jouez une fois par semaine,Jugar una vez a la semana,일주일에 한 번 플레이 가능,Bermain sekali seminggu,เล่นสัปดาห์ละครั้ง,لعب مرة واحدة في الأسبوع,Играть раз в неделю,Spielen Sie einmal pro Woche
RestrictionMonth,Play once a month,月に１回プレイ可,每月打一次,每月打一次,每月打一次,Jouez une fois par mois,Juega una vez al mes,월 1 회 플레이 가능,Bermain sebulan sekali,เล่นเดือนละครั้ง,لعب مرة واحدة في الشهر,Играть раз в месяц,Spielen Sie einmal im Monat
ReleaseRestriction,Pay the prizm and make it available now,プリズムを支払い今すぐプレイ可能にする,支付PRIZM，并使其可现在,支付PRIZM，并使其可现在,支付PRIZM，並使其可現在,Payer le Prizm et le rendre disponible dès maintenant,Pagar el Prizm y hacerlo disponible ahora,프리즘을 지불 지금 플레이 가능하게하는,Bayar PRIZM dan membuatnya tersedia sekarang,จ่ายพริซึ่มและทำให้มันใช้ได้ในขณะนี้,دفع PRIZM وجعلها متاحة الآن,Оплатите Prizm и сделать его доступным в настоящее время,Zahlen Sie die prizm und machen es verfügbar
Acquisition of [Name] Bonus list,Acquisition of [Name] Bonus list,[Name]の取得ボーナス一覧,[Name]奖励名单的收购,[Name]奖励名单的收购,[Name]獎勵名單的收購,Acquisition de [Name] Liste Bonus,Adquisición de [Name] lista de Bono,[Name]에서 보너스 목록,Akuisisi [Name] daftar Bonus,เข้าซื้อกิจการของ [Name] รายการโบนัส,اكتساب [Name] قائمة مكافأة,Приобретение [Name] списка Bonus,Erwerb von [Name] Bonus Liste
You can play 1 gacha with watching video advertisement. You can get items automatically after the video is finished. Can you proceed anyway?,You can play 1 gacha with watching video advertisement. You can get items automatically after the video is finished. Can you proceed anyway?,動画広告を見て１回ガチャをプレイします。動画広告終了後に自動的にアイテムがゲットできます。このまま進めますか？,你可以玩1个嘎查与观看视频广告。视频播放结束后，可自动获得项目。你能仍要继续？,你可以玩1个嘎查与观看视频广告。视频播放结束后，可自动获得项目。你能仍要继续？,你可以玩1個嘎查與觀看視頻廣告。視頻播放結束後，可自動獲得項目。你能仍要繼續？,Vous pouvez jouer 1 Gacha avec regarder publicité vidéo. Vous pouvez obtenir des éléments automatiquement une fois la vidéo terminée. Pouvez-vous quand même continuer?,Puede jugar de 1 Gacha con la observación de la publicidad de vídeo. Usted puede obtener artículos de forma automática después de que el vídeo se terminó. Se puede continuar de todos modos?,동영상 광고를보고 1 회 가체를 플레이합니다. 동영상 광고 종료 후 자동으로 아이템을 획득 할 수 있습니다. 이대로 진행 하시겠습니까?,Anda bisa bermain 1 gacha dengan menonton video iklan. Anda bisa mendapatkan barang-barang secara otomatis setelah video selesai. Anda dapat melanjutkan sih?,คุณสามารถเล่น 1 Gacha กับการดูโฆษณาวิดีโอ คุณจะได้รับรายการโดยอัตโนมัติหลังจากที่วิดีโอเสร็จเรียบร้อยแล้ว คุณสามารถดำเนินการต่อไปหรือไม่,يمكنك أن تلعب 1 gacha مع مشاهدة الإعلان الفيديو. يمكنك الحصول على البنود تلقائيا بعد الانتهاء من الفيديو. يمكنك المتابعة على أية حال؟,"Вы можете играть 1 Gacha с просмотром видео рекламы. Вы можете получить пункты автоматически после того, как видео закончены. Вы можете перейти в любом случае?","Sie können sich 1 gacha spielen mit Video-Werbung zu beobachten. Sie können Elemente automatisch erhalten, nachdem das Video fertig ist. Können Sie trotzdem weitermachen?"
You can play 1 gacha with paying [Prizm] Prizm. Is it OK?,You can play 1 gacha with paying [Prizm] Prizm. Is it OK?,プリズムを[Prizm]支払って１回ガチャをプレイします。よろしいですか？,你可以玩1个嘎查与支付[Prizm] PRIZM。可以吗？,你可以玩1个嘎查与支付[Prizm] PRIZM。可以吗？,你可以玩1個嘎查與支付[Prizm] PRIZM。可以嗎？,Vous pouvez jouer 1 Gacha de payer [Prizm] Prizm. Est-ce que c'est bon?,Puede jugar de 1 Gacha con el pago de [Prizm] Prizm. ¿Está bien?,프리즘을 [Prizm] 지불 한 번 가챠를 플레이합니다. 하시겠습니까?,Anda bisa bermain 1 gacha dengan membayar [Prizm] Prizm. Apakah itu OK?,คุณสามารถเล่น 1 Gacha กับการชำระเงิน [Prizm] พริซึ่ม มันตกลง?,يمكنك أن تلعب 1 gacha مع دفع [Prizm] PRIZM. هل الامور على ما يرام؟,Вы можете играть 1 Gacha с оплатой [Prizm] Prizm. Это нормально?,Sie können sich 1 gacha mit der Zahlung [Prizm] Prizm spielen. Ist es o.k?
You can play 1 gacha with paying [Gold] Gold. Is it OK?,You can play 1 gacha with paying [Gold] Gold. Is it OK?,ゴールドを[Gold]支払って１回ガチャをプレイします。よろしいですか？,你可以玩1个嘎查与支付[Gold]金。可以吗？,你可以玩1个嘎查与支付[Gold]金。可以吗？,你可以玩1個嘎查與支付[Gold]金。可以嗎？,Vous pouvez jouer 1 Gacha de payer [Gold] Or. Est-ce que c'est bon?,Puede jugar de 1 Gacha con el pago de [Gold] de oro. ¿Está bien?,골드 [Gold] 지불하고 1 회 가체를 플레이합니다. 하시겠습니까?,Anda bisa bermain 1 gacha dengan membayar [Gold] Emas. Apakah itu OK?,คุณสามารถเล่น 1 Gacha กับการชำระเงิน [Gold] ทอง มันตกลง?,يمكنك أن تلعب 1 gacha مع دفع [Gold] الذهب. هل الامور على ما يرام؟,Вы можете играть 1 Gacha с оплатой [Gold] Gold. Это нормально?,Sie können sich 1 gacha mit der Zahlung [Gold] Gold-spielen. Ist es o.k?
You can play 1 gacha with consuming 1 Ticket. Is it OK?,You can play 1 gacha with consuming 1 Ticket. Is it OK?,チケットを1つ消費して１回ガチャをプレイします。よろしいですか？,你可以玩1个嘎查与消耗1张票。可以吗？,你可以玩1个嘎查与消耗1张票。可以吗？,你可以玩1個嘎查與消耗1張票。可以嗎？,Vous pouvez jouer 1 Gacha à la consommation 1 Ticket. Est-ce que c'est bon?,Puede jugar de 1 Gacha con el consumo de 1 entradas. ¿Está bien?,티켓을 하나 소비하여 1 회 가체를 플레이합니다. 하시겠습니까?,Anda bisa bermain 1 gacha dengan mengkonsumsi 1 Ticket. Apakah itu OK?,คุณสามารถเล่น 1 Gacha กับการบริโภค 1 ตั๋ว มันตกลง?,يمكنك أن تلعب 1 gacha مع المستهلكة 1 التذاكر. هل الامور على ما يرام؟,Вы можете играть 1 Gacha с потреблением 1 билет. Это нормально?,Sie können mit raubend 1 Ticket 1 gacha spielen. Ist es o.k?
You can play 11 gacha with paying [Multi] Prizm. Is it OK?,You can play 11 gacha with paying [Multi] Prizm. Is it OK?,プリズムを[Multi]支払って１１回ガチャをプレイします。よろしいですか？,你可以玩11个嘎查与支付[Multi] PRIZM。可以吗？,你可以玩11个嘎查与支付[Multi] PRIZM。可以吗？,你可以玩11個嘎查與支付[Multi] PRIZM。可以嗎？,Vous pouvez jouer 11 gacha de payer [Multi] Prizm. Est-ce que c'est bon?,Se puede jugar con el pago de 11 Gacha [Multi] Prizm. ¿Está bien?,프리즘을 [Multi] 지불 11 회 가체를 플레이합니다. 하시겠습니까?,Anda bisa bermain 11 gacha dengan membayar [Multi] Prizm. Apakah itu OK?,คุณสามารถเล่น 11 Gacha กับการชำระเงิน [Multi] พริซึ่ม มันตกลง?,يمكنك لعب 11 gacha مع دفع [Multi] PRIZM. هل الامور على ما يرام؟,Вы можете играть в 11 Gacha с оплатой [Multi] Prizm. Это нормально?,Sie können 11 gacha mit der Zahlung von [Multi] Prizm spielen. Ist es o.k?
"You can release restriction with paying [ReleaseRestrictionPrice] Prizm. To play gacha, you need pay another payment. Is it OK?","You can release restriction with paying [ReleaseRestrictionPrice] Prizm. To play gacha, you need pay another payment. Is it OK?",プリズムを[ReleaseRestrictionPrice]支払ってプレイ制限を解除します。ガチャをプレイするにはまた別に支払いを行う必要があります。よろしいですか？,你可以支付[ReleaseRestrictionPrice] PRIZM释放约束。要播放嘎查，你需要另外支付付款。可以吗？,你可以支付[ReleaseRestrictionPrice] PRIZM释放约束。要播放嘎查，你需要另外支付付款。可以吗？,你可以支付[ReleaseRestrictionPrice] PRIZM釋放約束。要播放嘎查，你需要另外支付付款。可以嗎？,"Vous pouvez libérer la restriction de payer [ReleaseRestrictionPrice] Prizm. Pour jouer Gacha, vous devez payer un autre paiement. Est-ce que c'est bon?","Puede liberar restricción con el pago de [ReleaseRestrictionPrice] Prizm. Para reproducir Gacha, necesita pagar otro pago. ¿Está bien?",프리즘을 [ReleaseRestrictionPrice] 지불하고 플레이 제한을 해제합니다. 가챠를 재생하려면 또한 별도로 지불 할 필요가 있습니다. 하시겠습니까?,"Anda dapat melepaskan pembatasan dengan membayar [ReleaseRestrictionPrice] Prizm. Untuk memainkan gacha, Anda perlu membayar pembayaran lain. Apakah itu OK?",คุณสามารถปล่อยข้อ จำกัด กับการชำระเงิน [ReleaseRestrictionPrice] พริซึ่ม ในการเล่น Gacha คุณจะต้องจ่ายชำระเงินอีกครั้ง มันตกลง?,يمكنك تحرير قيود مع دفع [ReleaseRestrictionPrice] PRIZM. للعب gacha، تحتاج إلى دفع دفعة أخرى. هل الامور على ما يرام؟,"Вы можете выпустить ограничение с оплатой [ReleaseRestrictionPrice] Prizm. Для того, чтобы играть Gacha, вам необходимо оплатить очередной платеж. Это нормально?","Sie können Beschränkung freigeben mit der Zahlung [ReleaseRestrictionPrice] Prizm. So spielen gacha, müssen Sie eine weitere Zahlung zahlen. Ist es o.k?"
