Localization,1.0.0,,,,,,,,,,,,
ID,en:English,ja:Japanese,zh:Chinese,zh-CN:ChineseSimplified,zh-TW:ChineseTraditional,fr:French,es:Spanish,ko:Korean,id:Indonesian,th:Thai,ar:Arabic,ru:Russian,de:German
Other store release mode comment,"Please use it when releasing to a store other than the Google Play store or AppStore. By using the symbol copied from the following button to the script, you can describe processing only in this mode.",Google PlayストアやAppStore以外のストアにリリースする際にご使用下さい。スクリプトに下記ボタンからコピーしたシンボルを使用するとこのモード時のみの処理を記載することができます。,释放到比谷歌Play商店AppStore的或其它商店时，请使用它。通过使用下按钮，将脚本复制的符号，你只能在此模式下描述处理。,释放到比谷歌Play商店AppStore的或其它商店时，请使用它。通过使用下按钮，将脚本复制的符号，你只能在此模式下描述处理。,釋放到比谷歌Play商店AppStore的或其它商店時，請使用它。通過使用下按鈕，將腳本複製的符號，你只能在此模式下描述處理。,"S'il vous plaît l'utiliser lors de la publication dans un magasin autre que le magasin Google Play ou l'AppStore. En utilisant le symbole copié à partir du bouton ci-dessous pour le script, vous pouvez décrire le traitement que dans ce mode.","Por favor, use cuando se libera a una tienda que no sea la tienda de Google Play o App Store. Al utilizar el símbolo de copiado desde el botón siguiente para la secuencia de comandos, puede describir el procesamiento sólo en este modo.",Google Play 스토어 나 AppStore 이외의 스토어에 출시 할 때 사용하십시오. 스크립트에 아래 버튼에서 복사 한 심볼을 사용하면이 모드에서만 처리를 기재 할 수 있습니다.,"Silakan gunakan saat merilis ke toko lain selain toko Google Play atau AppStore. Dengan menggunakan simbol disalin dari tombol berikut untuk script, Anda bisa menggambarkan pengolahan hanya dalam mode ini.",กรุณาใช้เมื่อปล่อยไปเก็บอื่น ๆ นอกเหนือจากร้านค้า Google Play หรือ AppStore โดยการใช้สัญลักษณ์ที่คัดลอกจากปุ่มต่อไปนี้เพื่อสคริปต์คุณสามารถอธิบายการประมวลผลเฉพาะในโหมดนี้,يرجى استخدامها عند الإفراج إلى مخزن آخر غير مخزن في Google Play أو أبستور. باستخدام رمز نسخ من الزر التالي للنص، يمكنك وصف المعالجة فقط في هذا الوضع.,"Пожалуйста, используйте его при отпускании в магазин другой, чем в магазине Play Google или AppStore. Используя символ, скопированный из следующей кнопки в сценарий, вы можете описать обработку только в этом режиме.","Bitte verwenden Sie es, wenn an einen Speicher, um andere als die Google Play Store oder App Store freigegeben wird. Durch die Verwendung des Symbols aus der folgenden Button, um das Skript kopiert, können Sie die Verarbeitung nur in diesem Modus beschreiben."
Development mode,Development mode,開発モード,发展模式,发展模式,發展模式,Mode de développement,modo de desarrollo,개발 모드,modus pembangunan,โหมดการพัฒนา,وضع التنمية,режим развития,Entwicklungsmodus
Development mode comment,"Please use it during development. By using the symbol copied from the following button to the script, you can describe processing only in this mode.",開発中にご使用下さい。スクリプトに下記ボタンからコピーしたシンボルを使用するとこのモード時のみの処理を記載することができます。,请在开发过程中使用它。通过使用下按钮，将脚本复制的符号，你只能在此模式下描述处理。,请在开发过程中使用它。通过使用下按钮，将脚本复制的符号，你只能在此模式下描述处理。,請在開發過程中使用它。通過使用下按鈕，將腳本複製的符號，你只能在此模式下描述處理。,"S'il vous plaît l'utiliser au cours du développement. En utilisant le symbole copié à partir du bouton ci-dessous pour le script, vous pouvez décrire le traitement que dans ce mode.","Por favor, use durante el desarrollo. Al utilizar el símbolo de copiado desde el botón siguiente para la secuencia de comandos, puede describir el procesamiento sólo en este modo.",개발 중에 사용하십시오. 스크립트에 아래 버튼에서 복사 한 심볼을 사용하면이 모드에서만 처리를 기재 할 수 있습니다.,"Silakan gunakan selama pengembangan. Dengan menggunakan simbol disalin dari tombol berikut untuk script, Anda bisa menggambarkan pengolahan hanya dalam mode ini.",กรุณาใช้มันในระหว่างการพัฒนา โดยการใช้สัญลักษณ์ที่คัดลอกจากปุ่มต่อไปนี้เพื่อสคริปต์คุณสามารถอธิบายการประมวลผลเฉพาะในโหมดนี้,الرجاء استخدامه خلال التنمية. باستخدام رمز نسخ من الزر التالي للنص، يمكنك وصف المعالجة فقط في هذا الوضع.,"Пожалуйста, используйте его во время разработки. Используя символ, скопированный из следующей кнопки в сценарий, вы можете описать обработку только в этом режиме.","Bitte verwenden Sie es während der Entwicklung. Durch die Verwendung des Symbols aus der folgenden Button, um das Skript kopiert, können Sie die Verarbeitung nur in diesem Modus beschreiben."
Use Local Database,Use Local Database,ローカルデータベースを使用,使用本地数据库,使用本地数据库,使用本地數據庫,Utiliser la base de données locale,Utilice la base de datos local,로컬 데이터베이스를 사용,Gunakan database lokal,ใช้ฐานข้อมูลท้องถิ่น,استخدام قاعدة البيانات المحلية,Использование локальной базы данных,Verwenden Sie lokale Datenbank
Use Local Database comment,"Create the database locally for the application. Encryption is done, but it is easy to tamper with.",アプリのローカルにデータベースを作成します。暗号化はされますが改ざんされやすいです。,为应用程序创建本地数据库。加密完成，但很容易被篡改。,为应用程序创建本地数据库。加密完成，但很容易被篡改。,為應用程序創建本地數據庫。加密完成，但很容易被篡改。,"Créer la base de données locale pour l'application. Le cryptage est fait, mais il est facile de falsifier.","Crear la base de datos local para la aplicación. La encriptación se realiza, pero es fácil de manipular.",응용 프로그램의 로컬 데이터베이스를 만듭니다. 암호화되지만 변경되지 쉽습니다.,"Membuat database lokal untuk aplikasi. Enkripsi dilakukan, tetapi mudah untuk mengutak-atik.",สร้างฐานข้อมูลในประเทศสำหรับการประยุกต์ใช้ การเข้ารหัสจะทำ แต่มันเป็นเรื่องง่ายที่จะยุ่งเกี่ยวกับ,إنشاء قاعدة بيانات محليا للتطبيق. ويتم تشفير، ولكن من السهل العبث.,"Создание базы данных локально для приложения. Шифрование осуществляется, но это легко подделать.","Erstellen Sie die Datenbank lokal für die Anwendung. Die Verschlüsselung wird getan, aber es ist leicht zu manipulieren."
Use Playerprefs,Use Player Prefs,UnityのPlayer Prefsを使用,玩家使用偏好设置,玩家使用偏好设置,玩家使用偏好設置,Utilisez Préf joueur,Utilice Preferencias del jugador,Unity의 Player Prefs를 사용,Gunakan Pemain Prefs,ใช้การตั้งค่าของผู้เล่น,استخدام بادئات لاعب,Используйте Prefs игрока,Verwenden Spieler Prefs
Use Playerprefs comment,Use Unity's Player Prefs. It is not recommended because memory efficiency is poor.,UnityのPlayer Prefsを使用します。メモリの効率が悪いためあまり推奨しません。,使用统一的播放器偏好设置。这是不建议，因为内存效率较差。,使用统一的播放器偏好设置。这是不建议，因为内存效率较差。,使用統一的播放器偏好設置。這是不建議，因為內存效率較差。,"Utilisez le lecteur de l'unité Préf. Il est déconseillé, car l'efficacité de la mémoire est faible.",Uso del reproductor de Preferencias de la Unidad. No se recomienda debido a la eficiencia de la memoria es pobre.,Unity의 Player Prefs을 사용합니다. 메모리 효율이 나쁘기 때문에 그다지 추천하지 않습니다.,Gunakan Unity Pemain Prefs. Hal ini tidak dianjurkan karena efisiensi memori miskin.,ใช้ความสามัคคีของผู้เล่น Prefs เราจะไม่แนะนำเพราะประสิทธิภาพหน่วยความจำไม่ดี,استخدام لاعب بادئات الوحدة و. فمن غير المستحسن لكفاءة الذاكرة الفقيرة.,"Используйте Юнити игрока Prefs. Это не рекомендуется, так как эффективность памяти бедна.","Verwenden Sie Unity-Player Prefs. Es wird nicht empfohlen, da die Speichereffizienz schlecht ist."
Use Firebase,Use Firebase,Firebaseを使用,使用火力地堡,使用火力地堡,使用火力地堡,Utilisez Firebase,uso Firebase,Firebase를 사용,Gunakan Firebase,ใช้ Firebase,استخدام Firebase,Использование Firebase,Verwenden Firebase
Use Firebase comment,Check when using Firebase. It is necessary to install Firebase's SDK.For details on how to install Firebase please check with the button below.,Firebaseを使用する時にチェック。FirebaseのSDK導入が必要。Firebaseの導入方法については下記ボタンから確認して下さい。,使用火力地堡时检查。有必要安装有关如何安装火力地堡请与下面的按钮来检查火力地堡的SDK.For细节。,使用火力地堡时检查。有必要安装有关如何安装火力地堡请与下面的按钮来检查火力地堡的SDK.For细节。,使用火力地堡時檢查。有必要安裝有關如何安裝火力地堡請與下面的按鈕來檢查火力地堡的SDK.For細節。,Vérifiez lors de l'utilisation Firebase. Il est nécessaire d'installer les détails de SDK.For Firebase sur l'installation Firebase s'il vous plaît vérifier avec le bouton ci-dessous.,"Comprobar al utilizar Firebase. Es necesario instalar detalles SDK.For de base de fuego sobre la instalación de Firebase favor, consulte con el botón de abajo.",Firebase을 사용할 때 체크. Firebase SDK의 도입이 필요하다. Firebase의 도입 방법은 아래 버튼에서 확인하십시오.,Memeriksa ketika menggunakan Firebase. Hal ini diperlukan untuk menginstal rincian SDK.For Firebase tentang cara menginstal Firebase silakan cek dengan tombol di bawah.,ตรวจสอบเมื่อใช้ Firebase มันเป็นสิ่งจำเป็นในการติดตั้ง Firebase ของ SDK.For รายละเอียดเกี่ยวกับวิธีการติดตั้ง Firebase โปรดตรวจสอบกับปุ่มด้านล่างนี้,تحقق عند استخدام Firebase. فمن الضروري لتثبيت تفاصيل SDK.For Firebase حول كيفية تثبيت Firebase يرجى مراجعة على الزر أدناه.,"Проверьте при использовании Firebase. Необходимо установить SDK.For детали Firebase о том, как установить Firebase пожалуйста, проверьте с помощью кнопки ниже.","Überprüfen Sie, wenn Firebase verwenden. Es ist notwendig, die Firebase SDK.For Details zu installieren, wie Firebase installieren Sie bitte unten mit der Taste überprüfen."
Please import FirebaseDatabase.unitypackage,Please import FirebaseDatabase.unitypackage,FirebaseDatabase.unitypackageをインポートしてください,请输入FirebaseDatabase.unitypackage,请输入FirebaseDatabase.unitypackage,請輸入FirebaseDatabase.unitypackage,S'il vous plaît importer FirebaseDatabase.unitypackage,Por favor importar FirebaseDatabase.unitypackage,FirebaseDatabase.unitypackage을 가져 오십시오,Silakan mengimpor FirebaseDatabase.unitypackage,กรุณานำเข้า FirebaseDatabase.unitypackage,يرجى استيراد FirebaseDatabase.unitypackage,Импортируйте FirebaseDatabase.unitypackage,Bitte importieren FirebaseDatabase.unitypackage
Please import FirebaseDatabase.unitypackage comment,In order to use the Firebase function of mUniSm Database FirebaseDatabase SDK is required. Please download the SDK from the site below and import FirebaseDatabase.unitypackage.,mUniSm DatabaseのFirebaseの機能を使用するにはFirebaseDatabaseのSDKが必要です。下記サイトからSDKをダウンロードしFirebaseDatabase.unitypackageをインポートしてください。,为了使用mUniSm数据库FirebaseDatabase SDK的火力地堡功能是必需的。请下载从下面的网站和进口FirebaseDatabase.unitypackage的SDK。,为了使用mUniSm数据库FirebaseDatabase SDK的火力地堡功能是必需的。请下载从下面的网站和进口FirebaseDatabase.unitypackage的SDK。,為了使用mUniSm數據庫FirebaseDatabase SDK的火力地堡功能是必需的。請下載從下面的網站和進口FirebaseDatabase.unitypackage的SDK。,Pour utiliser la fonction Firebase de base de données FirebaseDatabase SDK communisme est nécessaire. S'il vous plaît télécharger le SDK sur le site ci-dessous et FirebaseDatabase.unitypackage d'importation.,"Para utilizar la función de base de datos Firebase comunismo FirebaseDatabase SDK se requiere. Por favor, descargue el SDK desde el sitio de abajo y FirebaseDatabase.unitypackage importación.",mUniSm Database의 Firebase 기능을 사용하려면 FirebaseDatabase의 SDK가 필요합니다. 다음 사이트에서 SDK를 다운로드 FirebaseDatabase.unitypackage를 가져와야합니다.,Untuk menggunakan fungsi Firebase dari mUniSm database FirebaseDatabase SDK diperlukan. Silahkan download SDK dari situs di bawah ini dan impor FirebaseDatabase.unitypackage.,เพื่อที่จะใช้ฟังก์ชั่นของ Firebase mUniSm ฐานข้อมูล FirebaseDatabase SDK เป็นสิ่งจำเป็น กรุณาดาวน์โหลด SDK จากเว็บไซต์ด้านล่างและ FirebaseDatabase.unitypackage นำเข้า,من أجل استخدام وظيفة Firebase من قاعدة البيانات mUniSm FirebaseDatabase SDK هو مطلوب. يرجى تحميل SDK من موقع أدناه وFirebaseDatabase.unitypackage الاستيراد.,"Для того, чтобы использовать Firebase функцию mUniSm Database FirebaseDatabase SDK требуется. Пожалуйста, загрузите SDK с сайта ниже и импорта FirebaseDatabase.unitypackage.",Um die Firebase Funktion von mUniSm Database FirebaseDatabase SDK verwenden erforderlich. Bitte laden Sie das SDK von der Website unten und Import FirebaseDatabase.unitypackage.
Please import FirebaseAuth.unitypackage,Please import FirebaseAuth.unitypackage,FirebaseAuth.unitypackageをインポートしてください,请输入FirebaseAuth.unitypackage,请输入FirebaseAuth.unitypackage,請輸入FirebaseAuth.unitypackage,S'il vous plaît importer FirebaseAuth.unitypackage,Por favor importar FirebaseAuth.unitypackage,FirebaseAuth.unitypackage을 가져 오십시오,Silakan mengimpor FirebaseAuth.unitypackage,กรุณานำเข้า FirebaseAuth.unitypackage,يرجى استيراد FirebaseAuth.unitypackage,Импортируйте FirebaseAuth.unitypackage,Bitte importieren FirebaseAuth.unitypackage
Please import FirebaseAuth.unitypackage comment,In order to use the Firebase function of mUniSm Database FirebaseAuth SDK is required. Please download the SDK from the site below and import FirebaseAuth.unitypackage.,mUniSm DatabaseのFirebaseの機能を使用するにはFirebaseAuthのSDKが必要です。下記サイトからSDKをダウンロードしFirebaseAuth.unitypackageをインポートしてください。,为了使用mUniSm数据库FirebaseAuth SDK的火力地堡功能是必需的。请下载从下面的网站和进口FirebaseAuth.unitypackage的SDK。,为了使用mUniSm数据库FirebaseAuth SDK的火力地堡功能是必需的。请下载从下面的网站和进口FirebaseAuth.unitypackage的SDK。,為了使用mUniSm數據庫FirebaseAuth SDK的火力地堡功能是必需的。請下載從下面的網站和進口FirebaseAuth.unitypackage的SDK。,Pour utiliser la fonction Firebase de base de données FirebaseAuth SDK communisme est nécessaire. S'il vous plaît télécharger le SDK sur le site ci-dessous et FirebaseAuth.unitypackage d'importation.,"Para utilizar la función de base de datos Firebase comunismo FirebaseAuth SDK se requiere. Por favor, descargue el SDK desde el sitio de abajo y FirebaseAuth.unitypackage importación.",mUniSm Database의 Firebase 기능을 사용하려면 FirebaseAuth의 SDK가 필요합니다. 다음 사이트에서 SDK를 다운로드 FirebaseAuth.unitypackage를 가져와야합니다.,Untuk menggunakan fungsi Firebase dari mUniSm database FirebaseAuth SDK diperlukan. Silahkan download SDK dari situs di bawah ini dan impor FirebaseAuth.unitypackage.,เพื่อที่จะใช้ฟังก์ชั่นของ Firebase mUniSm ฐานข้อมูล FirebaseAuth SDK เป็นสิ่งจำเป็น กรุณาดาวน์โหลด SDK จากเว็บไซต์ด้านล่างและ FirebaseAuth.unitypackage นำเข้า,من أجل استخدام وظيفة Firebase من قاعدة البيانات mUniSm FirebaseAuth SDK هو مطلوب. يرجى تحميل SDK من موقع أدناه وFirebaseAuth.unitypackage الاستيراد.,"Для того, чтобы использовать Firebase функцию mUniSm Database FirebaseAuth SDK требуется. Пожалуйста, загрузите SDK с сайта ниже и импорта FirebaseAuth.unitypackage.",Um die Firebase Funktion von mUniSm Database FirebaseAuth SDK verwendet erforderlich. Bitte laden Sie das SDK von der Website unten und Import FirebaseAuth.unitypackage.
Please import FirebaseInvites.unitypackage,Please import FirebaseInvites.unitypackage,FirebaseInvites.unitypackageをインポートしてください,请输入FirebaseInvites.unitypackage,请输入FirebaseInvites.unitypackage,請輸入FirebaseInvites.unitypackage,S'il vous plaît importer FirebaseInvites.unitypackage,Por favor importar FirebaseInvites.unitypackage,FirebaseInvites.unitypackage을 가져 오십시오,Silakan mengimpor FirebaseInvites.unitypackage,กรุณานำเข้า FirebaseInvites.unitypackage,يرجى استيراد FirebaseInvites.unitypackage,Импортируйте FirebaseInvites.unitypackage,Bitte importieren FirebaseInvites.unitypackage
Please import FirebaseInvites.unitypackage comment,In order to use the Firebase function of mUniSm Database FirebaseInvites SDK is required. Please download the SDK from the site below and import FirebaseInvites.unitypackage.,mUniSm DatabaseのFirebaseの機能を使用するにはFirebaseInvitesのSDKが必要です。下記サイトからSDKをダウンロードしFirebaseInvites.unitypackageをインポートしてください。,为了使用mUniSm数据库FirebaseInvites SDK的火力地堡功能是必需的。请下载从下面的网站和进口FirebaseInvites.unitypackage的SDK。,为了使用mUniSm数据库FirebaseInvites SDK的火力地堡功能是必需的。请下载从下面的网站和进口FirebaseInvites.unitypackage的SDK。,為了使用mUniSm數據庫FirebaseInvites SDK的火力地堡功能是必需的。請下載從下面的網站和進口FirebaseInvites.unitypackage的SDK。,Pour utiliser la fonction Firebase de base de données FirebaseInvites SDK communisme est nécessaire. S'il vous plaît télécharger le SDK sur le site ci-dessous et FirebaseInvites.unitypackage d'importation.,"Para utilizar la función de base de datos Firebase comunismo FirebaseInvites SDK se requiere. Por favor, descargue el SDK desde el sitio de abajo y FirebaseInvites.unitypackage importación.",mUniSm Database의 Firebase 기능을 사용하려면 FirebaseInvites의 SDK가 필요합니다. 다음 사이트에서 SDK를 다운로드 FirebaseInvites.unitypackage를 가져와야합니다.,Untuk menggunakan fungsi Firebase dari mUniSm database FirebaseInvites SDK diperlukan. Silahkan download SDK dari situs di bawah ini dan impor FirebaseInvites.unitypackage.,เพื่อที่จะใช้ฟังก์ชั่นของ Firebase mUniSm ฐานข้อมูล FirebaseInvites SDK เป็นสิ่งจำเป็น กรุณาดาวน์โหลด SDK จากเว็บไซต์ด้านล่างและ FirebaseInvites.unitypackage นำเข้า,من أجل استخدام وظيفة Firebase من قاعدة البيانات mUniSm FirebaseInvites SDK هو مطلوب. يرجى تحميل SDK من موقع أدناه وFirebaseInvites.unitypackage الاستيراد.,"Для того, чтобы использовать Firebase функцию mUniSm Database FirebaseInvites SDK требуется. Пожалуйста, загрузите SDK с сайта ниже и импорта FirebaseInvites.unitypackage.",Um die Firebase Funktion von mUniSm Database FirebaseInvites SDK verwenden erforderlich. Bitte laden Sie das SDK von der Website unten und Import FirebaseInvites.unitypackage.
Please import FirebaseMessaging.unitypackage,Please import FirebaseMessaging.unitypackage,FirebaseMessaging.unitypackageをインポートしてください,请输入FirebaseMessaging.unitypackage,请输入FirebaseMessaging.unitypackage,請輸入FirebaseMessaging.unitypackage,S'il vous plaît importer FirebaseMessaging.unitypackage,Por favor importar FirebaseMessaging.unitypackage,FirebaseMessaging.unitypackage을 가져 오십시오,Silakan mengimpor FirebaseMessaging.unitypackage,กรุณานำเข้า FirebaseMessaging.unitypackage,يرجى استيراد FirebaseMessaging.unitypackage,Импортируйте FirebaseMessaging.unitypackage,Bitte importieren FirebaseMessaging.unitypackage
